video_id,path,reason
00295,raw/videos/00295.mp4,missing_file
00333,raw/videos/00333.mp4,missing_file
00337,raw/videos/00337.mp4,missing_file
00340,raw/videos/00340.mp4,missing_file
00374,raw/videos/00374.mp4,missing_file
00378,raw/videos/00378.mp4,missing_file
00383,raw/videos/00383.mp4,missing_file
00412,raw/videos/00412.mp4,missing_file
00419,raw/videos/00419.mp4,missing_file
00422,raw/videos/00422.mp4,missing_file
00423,raw/videos/00423.mp4,missing_file
00424,raw/videos/00424.mp4,missing_file
00425,raw/videos/00425.mp4,missing_file
00429,raw/videos/00429.mp4,missing_file
00432,raw/videos/00432.mp4,missing_file
00434,raw/videos/00434.mp4,missing_file
00581,raw/videos/00581.mp4,missing_file
00587,raw/videos/00587.mp4,missing_file
00588,raw/videos/00588.mp4,missing_file
00598,raw/videos/00598.mp4,missing_file
00601,raw/videos/00601.mp4,missing_file
00602,raw/videos/00602.mp4,missing_file
00618,raw/videos/00618.mp4,missing_file
00630,raw/videos/00630.mp4,missing_file
00635,raw/videos/00635.mp4,missing_file
00636,raw/videos/00636.mp4,missing_file
00638,raw/videos/00638.mp4,missing_file
00662,raw/videos/00662.mp4,missing_file
00665,raw/videos/00665.mp4,missing_file
00667,raw/videos/00667.mp4,missing_file
00691,raw/videos/00691.mp4,missing_file
00693,raw/videos/00693.mp4,missing_file
00829,raw/videos/00829.mp4,missing_file
00838,raw/videos/00838.mp4,missing_file
00840,raw/videos/00840.mp4,missing_file
00841,raw/videos/00841.mp4,missing_file
00850,raw/videos/00850.mp4,missing_file
00857,raw/videos/00857.mp4,missing_file
00867,raw/videos/00867.mp4,missing_file
00870,raw/videos/00870.mp4,missing_file
00873,raw/videos/00873.mp4,missing_file
00886,raw/videos/00886.mp4,missing_file
00893,raw/videos/00893.mp4,missing_file
00897,raw/videos/00897.mp4,missing_file
00902,raw/videos/00902.mp4,missing_file
00903,raw/videos/00903.mp4,missing_file
00950,raw/videos/00950.mp4,missing_file
00966,raw/videos/00966.mp4,missing_file
00972,raw/videos/00972.mp4,missing_file
01016,raw/videos/01016.mp4,missing_file
01020,raw/videos/01020.mp4,missing_file
01021,raw/videos/01021.mp4,missing_file
01062,raw/videos/01062.mp4,missing_file
01067,raw/videos/01067.mp4,missing_file
01069,raw/videos/01069.mp4,missing_file
01075,raw/videos/01075.mp4,missing_file
01077,raw/videos/01077.mp4,missing_file
01078,raw/videos/01078.mp4,missing_file
01102,raw/videos/01102.mp4,missing_file
01106,raw/videos/01106.mp4,missing_file
01121,raw/videos/01121.mp4,missing_file
01124,raw/videos/01124.mp4,missing_file
01149,raw/videos/01149.mp4,missing_file
01161,raw/videos/01161.mp4,missing_file
01194,raw/videos/01194.mp4,missing_file
01211,raw/videos/01211.mp4,missing_file
