video_id,gloss,signer_id,split,frame_start,frame_end,source,url,path,file_exists,readable,fps,num_frames,width,height,duration,error
00295,a,9,val,1,23,asl5200,https://www.youtube.com/watch?v=jPn0FQxkdBc,raw/videos/00295.mp4,False,False,,,,,,missing_file
00333,abdomen,9,val,64,123,asl5200,https://www.youtube.com/watch?v=jPn0FQxkdBc,raw/videos/00333.mp4,False,False,,,,,,missing_file
00335,abdomen,2,test,1,-1,spreadthesign,https://media.spreadthesign.com/video/mp4/13/118162.mp4,raw/videos/00335.mp4,True,True,25.0,58,320,240,2.32,
00336,abdomen,13,train,1,-1,asldeafined,https://media.asldeafined.com/vocabulary/1468896442.4103.mp4,raw/videos/00336.mp4,True,True,30.004616094783813,65,640,480,2.166333333333333,
00337,abdomen,14,train,1,-1,handspeak,https://www.handspeak.com/word/a/abdomen.mp4,raw/videos/00337.mp4,False,False,,,,,,missing_file
00338,abdomen,10,train,1,-1,signingsavvy,https://www.signingsavvy.com/signs/mp4/23/23860.mp4,raw/videos/00338.mp4,True,True,29.97,72,288,192,2.4024024024024024,
00339,abdomen,10,val,1,-1,signingsavvy,https://www.signingsavvy.com/signs/mp4/23/23861.mp4,raw/videos/00339.mp4,True,True,29.97,61,288,192,2.0353687020353686,
00340,abdomen,16,train,1,-1,aslpro,http://www.aslpro.com/main/a/abdomen.swf,raw/videos/00340.mp4,False,False,,,,,,missing_file
00341,abdomen,12,train,1,-1,aslsearch,http://www.aslsearch.com/signs/videos/abdomen.mp4,raw/videos/00341.mp4,True,True,30.33144977650333,84,720,400,2.7694027360694027,
00374,able,9,val,124,183,asl5200,https://www.youtube.com/watch?v=jPn0FQxkdBc,raw/videos/00374.mp4,False,False,,,,,,missing_file
00376,able,2,test,1,-1,spreadthesign,https://media.spreadthesign.com/video/mp4/13/118167.mp4,raw/videos/00376.mp4,True,True,25.0,56,320,240,2.24,
00377,able,15,train,1,-1,asldeafined,https://media.asldeafined.com/vocabulary/1466726413.7244.mp4,raw/videos/00377.mp4,True,True,30.003371165299473,89,640,480,2.966333333333333,
00378,able,20,train,1,-1,handspeak,https://www.handspeak.com/word/a/able.mp4,raw/videos/00378.mp4,False,False,,,,,,missing_file
00381,able,11,train,1,-1,signingsavvy,https://www.signingsavvy.com/signs/mp4/7/7818.mp4,raw/videos/00381.mp4,True,True,29.97,37,288,192,1.234567901234568,
00382,able,11,val,1,-1,signingsavvy,https://www.signingsavvy.com/signs/mp4/9/9066.mp4,raw/videos/00382.mp4,True,True,29.97,46,288,192,1.5348682015348682,
00383,able,24,train,1,-1,aslpro,http://www.aslpro.com/main/a/able.swf,raw/videos/00383.mp4,False,False,,,,,,missing_file
00384,able,12,train,1,-1,aslsearch,http://www.aslsearch.com/signs/videos/ability.mp4,raw/videos/00384.mp4,True,True,30.327146751747044,85,720,400,2.8027694361027695,
00412,about,9,val,184,240,asl5200,https://www.youtube.com/watch?v=jPn0FQxkdBc,raw/videos/00412.mp4,False,False,,,,,,missing_file
00414,about,26,train,1,-1,spreadthesign,https://media.spreadthesign.com/video/mp4/13/307716.mp4,raw/videos/00414.mp4,True,True,50.0,105,320,240,2.1,
00415,about,27,train,1,-1,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20About-Tfj63Ai9tfw.mp4,raw/videos/00415.mp4,True,True,23.976108018676126,38,1920,1080,1.5849111111111112,
00416,about,13,train,1,-1,asldeafined,https://media.asldeafined.com/vocabulary/1466167160.124.mp4,raw/videos/00416.mp4,True,True,30.002586429864643,116,640,480,3.8663333333333334,
00419,about,14,train,1,-1,handspeak,https://www.handspeak.com/word/a/about.mp4,raw/videos/00419.mp4,False,False,,,,,,missing_file
00421,about,11,val,1,-1,signingsavvy,https://www.signingsavvy.com/signs/mp4/7/7231.mp4,raw/videos/00421.mp4,True,True,29.97,34,288,192,1.1344678011344678,
00422,about,5,train,1,-1,aslu,https://www.youtube.com/watch?v=h-PNeRGh7nI,raw/videos/00422.mp4,False,False,,,,,,missing_file
00423,about,5,train,1,-1,aslu,https://www.youtube.com/watch?v=pH4E8ruOcSY,raw/videos/00423.mp4,False,False,,,,,,missing_file
00424,about,5,test,1,-1,aslu,https://www.youtube.com/watch?v=wFkG56b4nuw,raw/videos/00424.mp4,False,False,,,,,,missing_file
00425,about,16,train,1,-1,aslpro,http://www.aslpro.com/main/a/about.swf,raw/videos/00425.mp4,False,False,,,,,,missing_file
00426,about,12,train,1,-1,aslsearch,http://www.aslsearch.com/signs/videos/about.mp4,raw/videos/00426.mp4,True,True,30.2792812297034,98,720,400,3.236536536536536,
00429,above,9,train,241,290,asl5200,https://www.youtube.com/watch?v=jPn0FQxkdBc,raw/videos/00429.mp4,False,False,,,,,,missing_file
00430,above,3,train,1,-1,signschool,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Above-HdumfsLukzQ.mp4,raw/videos/00430.mp4,True,True,29.97002997002997,52,1920,1080,1.7350666666666668,
00431,above,13,val,1,-1,asldeafined,https://media.asldeafined.com/vocabulary/1466167130.6059.mp4,raw/videos/00431.mp4,True,True,30.002459217968685,122,640,480,4.066333333333334,
00432,above,20,val,1,-1,handspeak,https://www.handspeak.com/word/a/above.mp4,raw/videos/00432.mp4,False,False,,,,,,missing_file
