video_id,gloss,label,split
00623,accident,51,train
00624,accident,51,train
00628,accident,51,train
00629,accident,51,train
00631,accident,51,train
00632,accident,51,train
00633,accident,51,train
00639,accident,51,train
01383,africa,76,train
01384,africa,76,train
01385,africa,76,train
01387,africa,76,train
01388,africa,76,train
01987,all,18,train
01988,all,18,train
01991,all,18,train
01992,all,18,train
02003,all,18,train
03000,apple,52,train
03001,apple,52,train
03002,apple,52,train
03003,apple,52,train
03005,apple,52,train
03008,apple,52,train
05229,basketball,77,train
05230,basketball,77,train
05231,basketball,77,train
05233,basketball,77,train
05234,basketball,77,train
05238,basketball,77,train
05243,basketball,77,train
05629,bed,32,train
05630,bed,32,train
05631,bed,32,train
05632,bed,32,train
05633,bed,32,train
05634,bed,32,train
05636,bed,32,train
05637,bed,32,train
05638,bed,32,train
05644,bed,32,train
05728,before,3,train
05729,before,3,train
05730,before,3,train
05731,before,3,train
05732,before,3,train
05733,before,3,train
05734,before,3,train
05740,before,3,train
05742,before,3,train
05743,before,3,train
05749,before,3,train
06331,bird,53,train
06332,bird,53,train
06333,bird,53,train
06334,bird,53,train
06337,bird,53,train
06343,bird,53,train
06359,birthday,78,train
06363,birthday,78,train
06365,birthday,78,train
06371,birthday,78,train
06471,black,19,train
06472,black,19,train
06473,black,19,train
06474,black,19,train
06477,black,19,train
06478,black,19,train
06486,black,19,train
06832,blue,33,train
06833,blue,33,train
06834,blue,33,train
06835,blue,33,train
06839,blue,33,train
07068,book,0,train
07069,book,0,train
07070,book,0,train
07074,book,0,train
07389,bowling,34,train
07390,bowling,34,train
07391,bowling,34,train
07392,bowling,34,train
07393,bowling,34,train
07394,bowling,34,train
07397,bowling,34,train
07399,bowling,34,train
07960,brown,79,train
07961,brown,79,train
07962,brown,79,train
07963,brown,79,train
07966,brown,79,train
08424,but,80,train
08431,but,80,train
08437,but,80,train
08916,candy,8,train
08917,candy,8,train
08919,candy,8,train
08920,candy,8,train
08921,candy,8,train
08924,candy,8,train
08935,can,35,train
08936,can,35,train
08937,can,35,train
08938,can,35,train
08942,can,35,train
08944,can,35,train
08955,can,35,train
09848,chair,4,train
09849,chair,4,train
09850,chair,4,train
09869,chair,4,train
09949,change,54,train
09953,change,54,train
09954,change,54,train
