video_id,gloss,label,split
00414,about,180,train
00415,about,180,train
00416,about,180,train
00426,about,180,train
00593,accept,471,train
00594,accept,471,train
00597,accept,471,train
00599,accept,471,train
00603,accept,471,train
00623,accident,51,train
00624,accident,51,train
00628,accident,51,train
00629,accident,51,train
00631,accident,51,train
00632,accident,51,train
00633,accident,51,train
00639,accident,51,train
00835,across,804,train
00836,across,804,train
00839,across,804,train
00842,across,804,train
00899,actor,805,train
00901,actor,805,train
00904,actor,805,train
00962,add,631,train
00963,add,631,train
00964,add,631,train
00965,add,631,train
00967,add,631,train
01206,adult,472,train
01207,adult,472,train
01208,adult,472,train
01209,adult,472,train
01214,adult,472,train
01217,adult,472,train
01383,africa,76,train
01384,africa,76,train
01385,africa,76,train
01387,africa,76,train
01388,africa,76,train
01418,after,473,train
01419,after,473,train
01428,after,473,train
01433,afternoon,350,train
01434,afternoon,350,train
01435,afternoon,350,train
01442,afternoon,350,train
01460,again,139,train
01461,again,139,train
01463,again,139,train
01464,again,139,train
01466,again,139,train
01471,again,139,train
01485,age,351,train
01486,age,351,train
01495,age,351,train
01552,ago,474,train
01556,ago,474,train
01557,ago,474,train
01558,ago,474,train
01561,ago,474,train
01564,ago,474,train
01575,agree,806,train
01577,agree,806,train
01579,agree,806,train
01582,agree,806,train
01724,airplane,632,train
01726,airplane,632,train
01727,airplane,632,train
01730,airplane,632,train
01734,airplane,632,train
01804,alarm,807,train
01808,alarm,807,train
01955,allergy,808,train
01956,allergy,808,train
01957,allergy,808,train
01960,allergy,808,train
01962,allergy,808,train
01987,all,18,train
01988,all,18,train
01991,all,18,train
01992,all,18,train
02003,all,18,train
02045,allow,475,train
02046,allow,475,train
02052,allow,475,train
02091,almost,809,train
02093,almost,809,train
02095,almost,809,train
02103,alone,352,train
02104,alone,352,train
02106,alone,352,train
02109,alone,352,train
02110,alone,352,train
02112,alone,352,train
02160,already,633,train
02162,already,633,train
02163,already,633,train
02165,already,633,train
02168,already,633,train
02177,also,634,train
02178,also,634,train
02228,always,256,train
02233,always,256,train
02238,always,256,train
02349,america,476,train
02350,america,476,train
02351,america,476,train
02356,america,476,train
02474,analyze,635,train
02476,analyze,635,train
02477,analyze,635,train
02478,analyze,635,train
02519,and,636,train
02521,and,636,train
02525,and,636,train
02540,angel,477,train
02541,angel,477,train
02542,angel,477,train
02548,angel,477,train
02565,angry,637,train
02566,angry,637,train
02567,angry,637,train
02569,angry,637,train
02583,animal,257,train
02584,animal,257,train
02589,animal,257,train
02592,animal,257,train
02620,announce,810,train
02622,announce,810,train
02625,announce,810,train
02710,answer,478,train
02711,answer,478,train
02712,answer,478,train
02713,answer,478,train
02718,answer,478,train
02826,any,479,train
02828,any,479,train
02833,any,479,train
02872,apartment,811,train
02873,apartment,811,train
02875,apartment,811,train
02877,apartment,811,train
02880,apartment,811,train
02952,appear,638,train
02953,appear,638,train
02954,appear,638,train
03000,apple,52,train
03001,apple,52,train
03002,apple,52,train
03003,apple,52,train
03005,apple,52,train
03008,apple,52,train
03055,appointment,353,train
03056,appointment,353,train
03057,appointment,353,train
03059,appointment,353,train
03062,appointment,353,train
03063,appointment,353,train
03118,approve,181,train
03119,approve,181,train
03121,approve,181,train
03122,approve,181,train
03124,approve,181,train
03131,approve,181,train
03234,area,480,train
03235,area,480,train
03238,area,480,train
03240,area,480,train
03246,area,480,train
03267,argue,258,train
03268,argue,258,train
03270,argue,258,train
03273,argue,258,train
03274,argue,258,train
03277,argue,258,train
03282,argue,258,train
03337,arm,639,train
03338,arm,639,train
03339,arm,639,train
03342,arm,639,train
03344,arm,639,train
03361,army,640,train
03364,army,640,train
03368,army,640,train
03417,arrest,641,train
03418,arrest,641,train
03430,arrest,641,train
03437,arrive,182,train
03438,arrive,182,train
03439,arrive,182,train
03478,art,481,train
03479,art,481,train
03484,art,481,train
03564,asia,642,train
03565,asia,642,train
03568,asia,642,train
03571,asia,642,train
03595,ask,643,train
03597,ask,643,train
03598,ask,643,train
03605,ask,643,train
03634,asl,482,train
03635,asl,482,train
03642,asl,482,train
04011,attention,812,train
04012,attention,812,train
04015,attention,812,train
04017,attention,812,train
04041,attitude,644,train
04044,attitude,644,train
04045,attitude,644,train
04048,attitude,644,train
04062,attract,645,train
04063,attract,645,train
04072,attract,645,train
04073,attract,645,train
04076,attract,645,train
04115,audience,813,train
04118,audience,813,train
04119,audience,813,train
04123,audience,813,train
04156,august,814,train
04159,august,814,train
04163,august,814,train
04164,august,814,train
04168,aunt,483,train
04169,aunt,483,train
04170,aunt,483,train
