video_id,gloss,label,split
00336,abdomen,1283,train
00338,abdomen,1283,train
00341,abdomen,1283,train
00377,able,1284,train
00381,able,1284,train
00384,able,1284,train
00414,about,180,train
00415,about,180,train
00416,about,180,train
00426,about,180,train
00430,above,1040,train
00433,above,1040,train
00435,above,1040,train
00583,accent,1600,train
00584,accent,1600,train
00585,accent,1600,train
00586,accent,1600,train
00593,accept,471,train
00594,accept,471,train
00597,accept,471,train
00599,accept,471,train
00603,accept,471,train
00623,accident,51,train
00624,accident,51,train
00628,accident,51,train
00629,accident,51,train
00631,accident,51,train
00632,accident,51,train
00633,accident,51,train
00639,accident,51,train
00663,accomplish,1041,train
00666,accomplish,1041,train
00668,accomplish,1041,train
00690,accountant,1285,train
00694,accountant,1285,train
00835,across,804,train
00836,across,804,train
00839,across,804,train
00842,across,804,train
00847,act,1601,train
00849,act,1601,train
00851,act,1601,train
00854,action,1286,train
00855,action,1286,train
00858,action,1286,train
00869,active,1287,train
00871,active,1287,train
00874,active,1287,train
00890,activity,1288,train
00891,activity,1288,train
00894,activity,1288,train
00899,actor,805,train
00901,actor,805,train
00904,actor,805,train
00946,adapt,1602,train
00947,adapt,1602,train
00949,adapt,1602,train
00951,adapt,1602,train
00962,add,631,train
00963,add,631,train
00964,add,631,train
00965,add,631,train
00967,add,631,train
01012,address,1289,train
01018,address,1289,train
01024,address,1289,train
01065,adjective,1603,train
01066,adjective,1603,train
01068,adjective,1603,train
01076,adjust,1604,train
01079,adjust,1604,train
01101,admire,1605,train
01103,admire,1605,train
01107,admire,1605,train
01118,admit,1606,train
01120,admit,1606,train
01122,admit,1606,train
01127,admit,1606,train
01157,adopt,1042,train
01160,adopt,1042,train
01162,adopt,1042,train
01206,adult,472,train
01207,adult,472,train
01208,adult,472,train
01209,adult,472,train
01214,adult,472,train
01217,adult,472,train
01227,advanced,1607,train
01229,advanced,1607,train
01231,advanced,1607,train
01252,advantage,1043,train
01265,adverb,1608,train
01266,adverb,1608,train
01268,adverb,1608,train
01320,affect,1290,train
01321,affect,1290,train
01327,affect,1290,train
01374,afraid,1291,train
01376,afraid,1291,train
01381,afraid,1291,train
01383,africa,76,train
01384,africa,76,train
01385,africa,76,train
01387,africa,76,train
01388,africa,76,train
01418,after,473,train
01419,after,473,train
01428,after,473,train
01433,afternoon,350,train
01434,afternoon,350,train
01435,afternoon,350,train
01442,afternoon,350,train
01460,again,139,train
01461,again,139,train
01463,again,139,train
01464,again,139,train
01466,again,139,train
01471,again,139,train
01473,against,1292,train
01474,against,1292,train
01479,against,1292,train
01485,age,351,train
01486,age,351,train
01495,age,351,train
01505,agenda,1293,train
01507,agenda,1293,train
